Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
351,965.3763764,1024.225495,1316.806545,1433.402174,468.0257973,49.50448773,286.049726,94.65631046,9.344631035,6.531324021,21.93931811,7,26,0,0,8,0,0,0,1
352,966.9479892,1033.494376,1326.591019,1441.10913,474.1611407,57.27750595,283.3121689,106.8111544,9.268881111,7.784474161,7.706956146,8,26,0,0,8,0,0,0,1
620,1803.573392,1834.775966,2272.491832,2306.367033,502.7936414,0,437.7158655,6.569524402,31.20257464,0,27.30567684,0,25,24,23,1,0,8,1,0
633,1835.014353,1847.499425,2209.690625,2298.99999,463.9856368,0,359.5508814,83.1786173,12.4850726,2.640318375,6.130747048,0,25,25,25,4,0,5,2,0
631,1825.254081,1837.497186,2296.736963,2298.195418,472.9413366,0,430.5094608,0,12.24310493,28.73031583,1.458454958,0,25,25,25,0,1,8,0,0
614,1784.110863,1822.261218,2207.050307,2292.869242,508.7583791,0,379.30295,69.2822966,38.15035488,5.486138512,16.53663908,0,24,26,26,4,0,4,2,0
357,990.5646859,1036.854057,1362.01625,1456.737849,466.1731629,42.92969031,289.7369626,79.09287971,3.359680439,4.42523084,15.62871895,5,27,0,0,8,0,0,0,1
630,1822.551868,1834.356667,2268.006647,2290.941039,468.3891714,0,416.7580078,6.949541503,11.80479929,16.89197211,15.98485074,0,25,25,25,1,0,8,0,0
623,1810.676073,1818.870393,2272.491832,2279.061356,468.3852837,0,422.9594229,0,8.194319966,30.66201642,6.569524402,0,23,24,23,1,0,8,1,0
360,993.6245987,1054.931037,1404.54283,1482.855694,489.2310951,43.22945797,326.8854444,74.36918194,18.07698001,13.72634869,3.943682102,5,27,0,0,6,0,0,0,1
625,1813.708692,1816.073368,2201.564168,2276.332603,462.6239113,0,368.7167076,58.01081355,2.364675492,16.77409305,16.75762157,0,24,24,23,5,0,3,2,0
362,994.8225654,1049.440106,1381.816481,1478.912012,484.0894464,49.02015062,327.4626689,81.45002727,5.597389912,4.913706298,15.64550336,6,28,0,0,8,0,0,0,1
627,1817.085807,1831.893271,2251.114675,2274.956189,457.8703811,0,407.5239821,17.71563654,14.80746339,11.69742197,6.125877073,0,25,24,24,1,0,8,0,0
626,1814.239826,1816.567761,2239.417253,2268.830311,454.5904852,0,374.370881,22.97413859,2.327935213,48.47861054,6.438919922,0,24,24,23,2,0,7,0,0
618,1793.317725,1794.102146,2241.829816,2265.941429,472.6237045,0,438.0050564,0,0.784421372,9.722613192,24.11161353,0,24,25,24,3,0,7,1,0
616,1789.013374,1812.926673,2190.938642,2262.391392,473.378018,0,376.3209192,57.48140545,23.91329975,1.691049936,13.97134368,0,25,24,25,4,0,4,0,0
