,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Queue A,Queue B,QlenB1,QlenB2,Queue C,QlenC1,QlenC2,choice,precheck
309,733.8633501,740.9864297,1025.00424,1047.661617,0,284.0178106,8.931162724,7.123079613,0,13.72621435,0,15,14,12,4,0,0,2,0
310,738.2235143,846.6204637,1102.667469,1143.05413,98.00304422,251.3201698,32.60407058,0.393905191,4.7268359,7.782589846,19,30,0,0,5,0,0,0,1
311,742.7255957,809.6342088,1063.073579,1085.468689,0,233.3847108,15.96036815,66.90861313,20.05465926,6.434741843,0,15,13,13,2,1,2,1,0
312,744.9424805,758.3883228,998.4277471,1017.240562,0,232.349801,5.804429215,13.44584232,7.689623284,13.00838558,0,15,13,13,6,0,0,1,0
313,752.4476361,761.0783829,1013.861524,1018.1073,0,237.3493642,3.379037916,8.630746869,15.43377688,0.866738134,0,14,13,13,6,0,0,1,0
314,753.8091425,852.3321151,1108.108782,1144.16495,87.74977062,250.3353543,34.94534756,5.773201955,5.441312875,1.110819903,15,30,0,0,6,0,0,0,1
315,755.4099318,762.8161735,1012.618846,1099.014589,0,228.2056627,80.71613946,7.406241769,21.59700967,5.679603707,0,14,12,13,5,0,0,0,0
316,758.5055355,761.679382,1037.860058,1051.16152,0,263.3248583,9.801559665,3.173846533,12.85581741,3.499902316,0,14,13,13,3,0,0,2,0
317,759.336625,878.9406532,1128.886599,1150.896194,87.28383865,240.8442836,16.7969934,14.32018951,9.101662521,5.212600998,14,30,0,0,3,0,0,0,1
318,759.7329253,868.7824315,1119.784937,1145.683593,92.59918978,239.3263507,24.38001296,3.450316496,11.6761545,1.51864297,15,30,0,0,4,0,0,0,1
319,760.1347875,800.7519867,1043.01892,1079.033947,0,213.1095373,31.2556724,40.61719918,29.15739566,4.75935501,0,14,13,13,1,0,2,1,0
320,761.1664829,763.7126471,1013.861524,1074.274592,0,250.1488769,4.24577605,2.546164182,0,56.16729201,0,14,14,13,6,1,0,1,0
321,761.1952674,812.0334651,1061.262931,1100.354695,0.484114652,244.0552285,35.74221211,50.35408303,5.174237254,3.34955159,0,14,14,14,2,1,1,2,0
322,764.2003743,884.1820768,1135.058783,1159.927729,104.5820572,244.7045225,15.83741091,12.39964524,6.172183489,9.031535482,14,30,0,0,4,0,0,0,1
323,765.7935845,894.8874432,1147.530209,1166.550068,113.1470687,250.5638381,13.50868905,14.94678997,2.078928101,5.511169963,15,29,0,0,2,0,0,0,1
324,766.086363,884.4357608,1145.451281,1161.038898,118.0957138,250.623022,14.47644793,0.253684032,10.39249847,1.111169228,16,30,0,0,2,0,0,0,1
325,768.5485588,912.2981875,1177.562468,1186.106439,115.887202,254.6319652,2.986871383,18.86242671,10.63231517,5.55709976,17,30,0,0,0,0,0,0,1
326,775.6826461,903.2415613,1161.933868,1167.214028,119.2047971,244.288648,4.61620077,6.354118151,14.40365824,0.663959888,18,30,0,0,0,0,0,0,1
327,778.8875013,799.3998896,1042.793809,1075.444559,0,238.4601681,8.367710939,20.51238829,4.933751042,24.28303922,0,14,14,13,1,0,1,2,0
328,780.1844816,792.1947758,1047.821491,1099.780713,0,220.4240701,51.19309856,12.01029424,35.20264461,0.766123592,0,14,14,13,1,1,1,0,0
329,783.1515506,800.3456833,1067.741836,1118.800325,9.043225206,247.4758072,32.03887652,8.150907523,19.92034563,19.01961271,0,13,13,13,2,3,2,0,0
330,784.667956,805.8752242,1056.088694,1097.005143,14.73193358,236.9185846,19.35586532,6.47533462,13.29488484,21.56058404,1,13,13,13,2,1,0,2,0
331,787.6954595,910.2914121,1166.930153,1180.549339,115.5461018,251.6424555,0.283875469,3.049850784,4.996285189,13.33531109,17,30,0,0,0,0,0,0,1
332,788.4043612,855.4815615,1124.781966,1182.911179,11.94132217,269.3004041,19.67433965,55.13587821,0,38.4548733,2,14,13,13,2,4,0,0,0
333,791.9381195,815.6987206,1095.639695,1106.307451,8.813867255,247.3748583,9.713691307,14.94673392,32.56611619,0.954064144,3,14,14,13,3,0,3,1,0
334,792.3570886,810.3373855,1082.814582,1126.765367,13.51813556,257.4044506,35.98574354,4.462161366,15.07274568,7.965041346,3,14,14,14,3,1,1,0,0
335,799.1493001,912.3571239,1187.359361,1193.639139,111.142112,265.2053441,0,2.0657118,9.796893028,6.279778414,17,30,0,0,0,0,0,0,1
336,799.4483474,918.0365598,1195.63902,1201.48466,112.8498401,269.3228012,0,5.738372247,8.279658708,5.845640257,18,30,0,0,0,0,0,0,1
337,801.3193019,814.350343,1096.086552,1133.473997,8.314906911,268.4642388,30.67881494,4.716134166,13.27196995,6.708630464,1,14,14,14,3,1,3,0,0
338,804.4281155,811.6818414,1063.073579,1105.353386,5.909270085,251.3917375,22.39510999,1.344455805,0,19.88469751,2,15,14,14,2,2,2,1,0
339,805.8836445,833.3243959,1121.745608,1139.644662,5.798196821,288.4212122,6.769868186,21.64255458,0,11.12918552,2,15,15,14,1,0,0,1,0
340,808.0424597,919.0521062,1200.713353,1202.810101,104.3146642,276.5869135,0.77130741,2.694982322,5.074332847,1.325441041,17,30,0,0,0,0,0,0,1
341,809.3770643,830.7066018,1086.735393,1126.938172,2.656400787,256.0287907,16.4345589,18.67313677,0,23.76822034,3,15,15,15,4,0,2,2,0
342,810.4738315,818.8104985,1086.735393,1103.169951,3.876511468,242.4524323,13.61930198,4.460155559,25.47246172,2.815256914,2,16,15,15,4,0,1,2,0
343,810.6069624,933.4140923,1219.232221,1252.048805,107.4295974,282.9824875,14.97345294,15.37753257,2.835640873,17.84313119,18,30,0,0,0,0,0,0,1
344,811.7846289,819.4799986,1121.745608,1128.515476,3.914091681,276.1596965,0,3.781278012,26.10591304,6.769868186,2,16,16,15,1,0,0,1,0
345,813.2585496,926.2407368,1216.39658,1234.205674,105.7935566,274.4726158,0,0.188630571,15.68322736,17.80909382,19,30,0,0,0,0,0,0,1
346,814.6929315,952.9900094,1221.022262,1258.470264,111.5478052,266.2422113,31.02654275,22.74927266,1.790041386,6.421459062,20,30,0,0,1,0,0,0,1
347,818.3763918,997.6167619,1225.641334,1262.90418,115.0377006,223.4055003,32.82893022,30.20266951,4.619071592,4.433915759,21,30,0,0,2,0,0,0,1
348,818.8198225,1005.851862,1243.943904,1281.295358,134.1701869,229.837921,27.50520973,38.86185243,8.254121371,9.846243756,22,30,0,0,3,0,0,0,1
349,823.5009196,1005.677311,1235.689783,1271.449114,174.1158423,219.9640232,27.21439686,8.060548712,10.04844911,8.54493424,21,27,0,0,2,0,0,0,1
350,824.210367,847.2274882,1143.653446,1224.679963,0,296.4259581,21.41718248,23.01712115,0,59.60933459,0,16,15,14,2,3,0,2,0
351,830.6193398,837.7732345,1143.653446,1165.070629,0,248.962158,0,7.15389471,56.91805372,21.41718248,0,16,15,14,2,3,0,2,0
352,832.3470998,842.8043352,1124.781966,1144.456305,0,253.2822165,8.692031522,10.45723546,28.69541388,10.98230812,0,16,15,15,1,4,0,0,0
353,838.3616357,1024.294155,1255.907005,1285.742669,167.3156749,220.9609945,29.4279908,18.61684432,10.65185538,0.407672953,18,26,0,0,4,0,0,0,1
354,843.2918046,1020.58386,1245.255149,1285.334996,162.5600573,223.3600443,36.04020835,14.7319981,1.311245143,4.03963784,18,27,0,0,4,0,0,0,1
355,843.4129797,1029.121486,1272.9233,1292.046323,177.1708803,226.785519,12.81936883,8.537625799,17.01629492,6.303654369,19,27,0,0,2,0,0,0,1
356,843.5019098,903.7015857,1154.694986,1301.697501,0,245.951853,122.0761791,60.19967597,5.041547404,24.92633606,0,16,16,15,1,2,3,2,0
357,843.8660841,844.5383785,1121.745608,1149.850079,0,277.2072296,17.8990537,0.672294432,0,10.20541752,0,16,16,15,1,1,0,1,0
358,847.6683328,871.1795577,1143.653446,1246.778913,0,272.4738886,81.02651708,23.51122489,0,22.09894988,0,16,16,16,2,3,1,2,0
359,850.9324797,858.4830135,1132.031965,1184.01941,0,266.2989521,50.87921358,7.550533792,7.249999368,1.108231755,0,16,16,15,2,4,0,0,0
360,851.278528,1044.953859,1305.843541,1320.78401,173.0156269,256.0643185,0,20.65970405,4.825363756,14.94046864,19,27,0,0,0,0,0,0,1
361,851.564543,1036.32899,1283.014606,1294.142965,177.5569428,236.5943096,9.031716546,7.207504292,10.09130666,2.096641673,20,28,0,0,2,0,0,0,1
362,853.1819592,876.9714008,1210.013866,1217.23396,0,306.6215401,0,23.7894416,26.42092541,7.220093269,0,13,16,15,0,6,7,0,0
363,853.9934459,880.0939195,1238.866976,1244.142611,1.488115599,329.9199468,0,24.61235801,28.85310949,5.275635407,0,14,16,15,0,5,7,0,0
364,861.2881107,865.7502843,1183.592941,1191.690121,0,266.2816807,0.426469438,4.4621736,51.56097589,7.670710461,0,15,15,15,0,5,4,0,0
365,867.4954056,872.5714721,1121.745608,1162.611661,0,249.1741361,28.10447122,5.076066525,0,12.76158168,0,16,15,15,1,2,0,1,0
366,868.8487798,874.8907515,1149.653439,1276.771165,2.330777867,268.7626948,97.12547449,3.711193783,5.999992478,29.992252,0,16,15,15,1,3,2,2,0
367,872.0988654,916.0894906,1155.677597,1229.312383,0.472606693,212.9663887,72.63924335,43.51801856,26.62171741,0.995542646,0,16,16,15,1,2,4,1,0
368,874.0090284,1036.977424,1301.018177,1302.40358,162.3199616,246.0371823,0,0.648433979,18.00357115,1.385402644,19,29,0,0,0,0,0,0,1
369,879.6980105,881.6561031,1249.814383,1259.875429,0,357.2108727,0,1.958092571,10.94740695,10.06104586,0,15,16,16,0,4,6,0,0
370,880.2149537,893.1120593,1275.07804,1277.654425,0,356.7023235,0,12.89710561,25.26365745,2.576384322,0,16,16,16,0,5,8,0,0
371,882.3117225,1057.336348,1321.568036,1328.977049,154.6657016,249.4026807,6.762429769,20.35892419,14.82900722,0.646583329,19,30,0,0,0,0,0,0,1
